statistic	source	condition	score	p_value
norm_wmean	GLI1	t4_t3	-2.2878924397144216	0.04
norm_wmean	GLI1	t8_t4	-0.8263693051263119	0.62
norm_wmean	GLI2	t0.5_t0	2.0340775722861437	0.12
norm_wmean	GLI2	t1_t0.5	1.228915933053205	0.32
norm_wmean	GLI2	t2_t1	2.6403604685448343	0.04
norm_wmean	GLI2	t3_t2	-0.9405997596575341	0.68
norm_wmean	GLI2	t4_t3	-1.3316923235876439	0.24
norm_wmean	GLI2	t8_t4	-2.3978332964563314	0.08
norm_wmean	HBP1	t0.5_t0	1.193720399527598	0.08000000000000007
norm_wmean	HBP1	t1_t0.5	-0.18863151397699343	0.32000000000000006
norm_wmean	HBP1	t2_t1	-0.37758708209824154	0.74
norm_wmean	HBP1	t3_t2	-5.381441986578944	0.02
norm_wmean	HBP1	t4_t3	-4.52753564625411	0.02
norm_wmean	HBP1	t8_t4	2.595564833713351	0.02
norm_wmean	HHEX	t0.5_t0	-0.1462570873871176	0.8
norm_wmean	HHEX	t1_t0.5	-0.8379444637847393	0.58
norm_wmean	HHEX	t2_t1	0.396390257969194	0.3999999999999999
norm_wmean	HHEX	t3_t2	-2.314640719421046	0.04
norm_wmean	HHEX	t4_t3	-0.4015025946965818	0.54
norm_wmean	HHEX	t8_t4	1.8972796861952719	0.04
norm_wmean	HIC1	t0.5_t0	-2.5444375584178753	0.02
norm_wmean	HIC1	t1_t0.5	-0.7635769991091294	0.98
norm_wmean	HIC1	t2_t1	0.5288144307837337	0.94
norm_wmean	HIC1	t3_t2	-0.9383222602406088	0.54
norm_wmean	HIC1	t4_t3	2.2921258162360614	0.06
norm_wmean	HIC1	t8_t4	2.465787705433842	0.06
